מספר פרויקט,שם הפרויקט,שלב הפרויקט 2,שלב משני 2,תאריך קבלת טופס 4
1001,עץ החיים,ביצוע,,
1002,מגדלי גינדי תל אביב - מגדל 4,ביצוע,גמרים,
1004,עד 120 נס ציונה,ביצוע,דיפון חפירה וביסוס,
1005,הרחבת קניון גזית כפר סבא,טרום ביצוע,,
1006,מרכז לוגיסטי הסדנה חולון,טרום ביצוע,,2023-01-28 22:00:00
1007,פארק מדע נתניה 2018,טרום ביצוע,,
1009,מבנה משרדים מתחם לוד,טרום ביצוע,,
1011,יובלים נס ציונה מגרשים 113-114,ביצוע,דיפון חפירה וביסוס,
1012,בלו תבע,טרום ביצוע,,
1013,גינדי מבנה משרדים (מגרש 7),טרום ביצוע,,
1015,רקל שרי ישראל ירמיהו בר אילן,ביצוע,,
1016,בית מנצור 2,ביצוע,שלד עילי,2025-03-17 22:00:00
1017,חברת חשמל- מתחם גן שורק,בדק,,2023-05-09 21:00:00
1019,זרחין רעננה,ביצוע,טופס 4,2024-03-16 22:00:00
1020,גפן קרסו  פתח תקווה,הסתיים,,
1023,ביהס לאדריכלות TAU,ביצוע,דיפון חפירה וביסוס,
1025,משרדי פישר בכר חן,הסתיים,,
1026,ראשון לציון - המטאורולוגית,טרום ביצוע,,
1027,מתחם ריבל,טרום ביצוע,,
1028,פארק תעסוקה - אורדן,טרום ביצוע,,
1029,שדרוג מרכז עזריאלי,בדק,,
1030,עזריאלי פתח תקווה,טרום ביצוע,,
1031,גשר 129 רכבת ישראל,הסתיים,,
1032,מטרו M2,טרום ביצוע,,
1033,קריית מדא,טרום ביצוע,,
1034,קירוי איילון,טרום ביצוע,,
1035,מגדל G סיטי ראשון לציון,ביצוע,שלד עילי,
1036,מלון בית אליאנס,טרום ביצוע,,
1038,בית ישראל קנדה,טרום ביצוע,,
1041,תבע קניון רמת אביב,טרום ביצוע,,
1042,פארק תמר - חדר נקי,בדק,טופס 4,2023-06-06 21:00:00
1043,ימים הצעירה,ביצוע,שלד עילי,
1044,התחדשות עירונית יוספטל - חולון,טרום ביצוע,,
1048,אינפרה 2 - קו ירוק רקל ירושלים,הסתיים,,
1052,מהיר לעיר רמת השרון,טרום ביצוע,,
1053,יד שרה אשדוד,הסתיים,טופס 4,
1055,"רק""ל גבעת שאול - כנפי נשרים - ניהול ביצוע",ביצוע,,
1056,המלבן אור יהודה,טרום ביצוע,,
1057,אופק שדרות,ביצוע,שלד עילי,
1058,מתחם כלנית,ביצוע,שלד עילי,
1059,פארק העברית,ביצוע,שלד עילי,2025-05-06 21:00:00
1061,מתחם דפנה מגרש 505,טרום ביצוע,,
1062,אפעל 15,הסתיים,,
1064,ביקור חולים,אחר,,
1065,עזריאלי טאון מגדל E,אחר,,
1066,הבושם ים סוף,טרום ביצוע,,
1067,הירקון 33-37,טרום ביצוע,,
1068,שכונת הארגזים - צפון,אחר,,
1069,מגדל אדגר,ביצוע,"שלד תת""ק",
1071,קמפוס הפניקס,ביצוע,שלד עילי,
1072,"סרברפארם תש""י בני ציון",בדק,,2023-01-28 22:00:00
1074,לודויפול,טרום ביצוע,,
1075,LYFE - מגדל C שלב ב,אחר,,
1076,הר ציון תל אביב,טרום ביצוע,,
1079,משרדי לוינשטיין באר שבע,ביצוע,שלד עילי,
1080,אסותא באר שבע,ביצוע,שלד עילי,2025-02-12 22:00:00
1081,עוקף אילת - כביש 12,טרום ביצוע,,
1082,"רק""ל מקטעים 34-35 - ביצוע",ביצוע,,
1083,קרית אונו צומת סביון,אחר,,
1084,משרדי כיל - באר שבע,ביצוע,שלד עילי,
1085,פארק טכנולוגי מודיעין,ביצוע,דיפון חפירה וביסוס,
