שם הפרויקט,מספר פרויקט,תחום,אבן,אגרונום,אדריכלות,אדריכלות נוף,אדריכלות פנים,איטום,איכות הסביבה,אינסטלציה,איתור ומיפוי תשתיות תת קרקעיות,אלומיניום,אפוקסי,אקוסטיקה,אשפה,בטון דרוך,בטחון,בטיחות,בטיחות אש,בידוד טרמי,ביטחון,בניה ירוקה,בקרת חניונים,בקרת תכנון / מפרטי מכר,בריכות אקולוגיות,בריכות שחיה,גז,גילוי אש,גינון והשקיה,גמר כללי,גרפיקה,דלק,הידרולוג,הריסה,זכוכית,חפירה ודיפון,חשמל,כבישים,כמאי ומכרזים,מגלשות,מודד,מולטימדיה,מטבחים,מיגון,מיזוג אוויר,מנהור,מנופים,מסגרות - דלתות,מעליות,מערך דלק,מערכות בטחון,מערכות מולטימדיה,משפטי,נגישות,ניהול פרויקטים,ניקוז,ספרינקלרים,עבודות עפר,עיצוב תעשייתי/תפאורות/במות,פירזול,פיתוח ותשתיות,קונסטרוקציה,קרינה אלקטרומגנטית,קרקע,ראשי,ריהוט,רימזור,רישוי,שילוט וגידור,תאום מערכות,תאורה,תברואה,תיאום הנדסי,תכן מבנה,תנועה,תקשורת,תשתיות רטובות
מגדלי גינדי תל אביב - מגדל 4,1002,מגורים,0,0,159,8,19,2,0,0,0,3,0,4,0,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,3,0,0,0,0,0,1,24,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,105,0,2,0,0,0,0,0,42,4,58,2,0,6,0,0
מרכז לוגיסטי הסדנה חולון,1006,תעשיה,0,0,46,3,0,2,0,23,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0
בית מנצור 2,1016,משרדים,0,0,39,8,11,0,0,48,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
חברת חשמל- מתחם גן שורק,1017,משרדים,0,0,456,39,0,13,0,86,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,10,33,0,116,0,4,0,21,0,43,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,30,64,0,0,0,0,12,0,0
זרחין רעננה,1019,משרדים,0,0,95,17,32,1,0,70,0,0,0,2,0,15,19,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,191,1,0,0,0,0,0,0,0,18,0,34,0,6,0,0
שדרוג מרכז עזריאלי,1029,מיוחדים,0,0,0,59,0,6,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,10,4,0,0,3,4,0
מגדל G סיטי ראשון לציון,1035,משרדים,0,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
פארק תמר - חדר נקי,1042,משרדים,0,0,26,12,0,2,0,22,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,62,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
ימים הצעירה,1043,מגורים,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
יד שרה אשדוד,1053,מבני ציבור,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
